"Fecha","Cierre","Apertura","Máximo","Mínimo","Vol.","% var."
"07.06.2021","0.69401","0.76219","0.79976","0.68826","14.35M","-8.95%"
"06.06.2021","0.76219","0.75050","0.77377","0.74314","8.59M","1.56%"
"05.06.2021","0.75050","0.75995","0.81790","0.72098","15.96M","-1.24%"
"04.06.2021","0.75995","0.82889","0.83072","0.72189","17.78M","-8.32%"
"03.06.2021","0.82889","0.79630","0.84934","0.78964","13.36M","4.09%"
"02.06.2021","0.79629","0.74733","0.84398","0.73384","21.78M","6.55%"
"01.06.2021","0.74733","0.76750","0.77417","0.72431","12.49M","-2.63%"
"31.05.2021","0.76750","0.70338","0.76750","0.66922","13.88M","9.01%"
"30.05.2021","0.70408","0.68038","0.73823","0.63826","14.66M","3.48%"
"29.05.2021","0.68038","0.74802","0.78726","0.64074","19.57M","-9.04%"
"28.05.2021","0.74802","0.84072","0.85231","0.70127","26.51M","-11.03%"
"27.05.2021","0.84072","0.88830","0.92859","0.79373","31.62M","-5.16%"
"26.05.2021","0.88642","0.73738","0.88642","0.73519","25.52M","20.21%"
"25.05.2021","0.73738","0.72506","0.77006","0.66200","22.69M","1.70%"
"24.05.2021","0.72506","0.55876","0.74270","0.55092","37.42M","29.76%"
"23.05.2021","0.55877","0.68044","0.70780","0.45617","52.03M","-17.88%"
"22.05.2021","0.68044","0.75699","0.76311","0.65546","27.14M","-10.11%"
"21.05.2021","0.75699","0.87442","0.91920","0.64875","40.50M","-13.43%"
"20.05.2021","0.87442","0.74442","0.91454","0.66405","39.38M","17.46%"
"19.05.2021","0.74443","1.10761","1.11793","0.56590","66.59M","-32.79%"
"18.05.2021","1.10761","1.05914","1.14156","1.04983","16.03M","4.58%"
"17.05.2021","1.05914","1.14155","1.14383","1.02108","23.17M","-7.18%"
"16.05.2021","1.14106","1.13523","1.23688","1.07748","21.73M","0.51%"
"15.05.2021","1.13523","1.21998","1.22721","1.12648","17.21M","-6.95%"
"14.05.2021","1.21998","1.19339","1.24880","1.17822","17.07M","2.23%"
"13.05.2021","1.19339","1.16769","1.25121","1.09599","33.08M","3.73%"
"12.05.2021","1.15047","1.39393","1.41560","1.15029","25.35M","-17.46%"
"11.05.2021","1.39392","1.31065","1.39392","1.25993","25.81M","6.13%"
"10.05.2021","1.31337","1.41338","1.49639","1.25333","36.52M","-7.08%"
"09.05.2021","1.41338","1.41831","1.46349","1.33648","25.53M","-0.38%"
"08.05.2021","1.41870","1.40604","1.51467","1.38215","28.28M","0.90%"
"07.05.2021","1.40604","1.40347","1.59127","1.35243","59.26M","0.18%"
"06.05.2021","1.40347","1.36247","1.44640","1.32925","43.26M","2.74%"
"05.05.2021","1.36609","1.17397","1.37151","1.17397","35.07M","16.40%"
"04.05.2021","1.17360","1.29241","1.29261","1.15400","27.69M","-9.15%"
"03.05.2021","1.29181","1.25589","1.32148","1.25313","18.92M","2.86%"
"02.05.2021","1.25590","1.27024","1.29686","1.22439","15.52M","-1.13%"
"01.05.2021","1.27024","1.26338","1.29977","1.23321","20.87M","0.54%"
"30.04.2021","1.26338","1.18751","1.27716","1.16581","19.95M","6.39%"
"29.04.2021","1.18751","1.20070","1.23420","1.15398","17.09M","-1.10%"
"28.04.2021","1.20070","1.23056","1.27957","1.14947","20.79M","-2.43%"
"27.04.2021","1.23056","1.16396","1.25135","1.13911","19.84M","5.72%"
"26.04.2021","1.16396","1.02429","1.16436","1.01549","22.65M","13.64%"
"25.04.2021","1.02429","1.03341","1.10243","0.97003","14.38M","-0.88%"
"24.04.2021","1.03341","1.17197","1.17343","1.02973","20.28M","-11.82%"
"23.04.2021","1.17197","1.07104","1.17859","0.86660","60.22M","9.42%"
"22.04.2021","1.07104","1.20497","1.25026","1.05259","34.24M","-11.11%"
"21.04.2021","1.20497","1.26579","1.31320","1.19353","26.84M","-4.74%"
"20.04.2021","1.26490","1.31977","1.32824","1.16017","53.46M","-3.78%"
"19.04.2021","1.31462","1.34822","1.46701","1.18081","62.56M","-2.49%"
"18.04.2021","1.34821","1.47391","1.48380","1.12368","52.73M","-8.39%"
"17.04.2021","1.47165","1.52791","1.59938","1.46359","26.54M","-3.68%"
"16.04.2021","1.52791","1.51943","1.56544","1.40453","32.39M","0.56%"
"15.04.2021","1.51943","1.46283","1.59218","1.43823","27.28M","3.66%"
"14.04.2021","1.46579","1.50001","1.56627","1.40089","29.36M","-2.28%"
"13.04.2021","1.50001","1.41689","1.51986","1.39651","25.68M","5.87%"
"12.04.2021","1.41689","1.43694","1.47239","1.39079","19.01M","-1.39%"
"11.04.2021","1.43694","1.46425","1.57066","1.40964","35.85M","-1.87%"
"10.04.2021","1.46425","1.53969","1.61779","1.39362","59.46M","-4.90%"
"09.04.2021","1.53969","1.29084","1.64527","1.26449","120.53M","19.28%"
"08.04.2021","1.29084","1.18620","1.29884","1.17661","24.93M","8.82%"
"07.04.2021","1.18620","1.32698","1.37898","1.15149","50.98M","-10.61%"
"06.04.2021","1.32698","1.27722","1.33636","1.17752","48.32M","3.90%"
"05.04.2021","1.27722","1.17511","1.28248","1.12942","34.46M","8.71%"
"04.04.2021","1.17491","1.11515","1.18409","1.10058","17.72M","5.36%"
"03.04.2021","1.11515","1.19863","1.26243","1.11270","30.61M","-6.96%"
"02.04.2021","1.19863","1.15361","1.27757","1.13442","41.15M","3.90%"
"01.04.2021","1.15361","1.14087","1.18337","1.11749","23.95M","1.12%"
