"Fecha","Cierre","Apertura","Máximo","Mínimo","Vol.","% var."
"26.08.2020","0.35054","0.34507","0.36831","0.34252","49.08M","1.59%"
"25.08.2020","0.34507","0.39658","0.39857","0.33744","65.50M","-12.99%"
"24.08.2020","0.39658","0.40253","0.43501","0.38865","60.25M","-1.48%"
"23.08.2020","0.40252","0.39817","0.42527","0.36899","66.35M","1.09%"
"22.08.2020","0.39817","0.37744","0.40676","0.34280","80.59M","5.49%"
"21.08.2020","0.37744","0.36093","0.44168","0.34845","233.34M","4.57%"
"20.08.2020","0.36093","0.31770","0.37080","0.31770","88.65M","13.61%"
"19.08.2020","0.31770","0.34969","0.35697","0.31027","83.27M","-9.15%"
"18.08.2020","0.34969","0.31632","0.37615","0.31628","132.25M","10.56%"
"17.08.2020","0.31629","0.32440","0.33888","0.29914","78.50M","-2.48%"
"16.08.2020","0.32431","0.27411","0.33921","0.27055","79.10M","18.32%"
"15.08.2020","0.27411","0.27869","0.28193","0.27188","23.00M","-1.65%"
"14.08.2020","0.27869","0.26873","0.27988","0.26363","21.58M","3.71%"
"13.08.2020","0.26873","0.27121","0.27373","0.25712","17.79M","-0.91%"
"12.08.2020","0.27121","0.26152","0.27389","0.25166","19.51M","3.70%"
"11.08.2020","0.26152","0.28661","0.28779","0.25029","30.93M","-8.75%"
"10.08.2020","0.28661","0.26692","0.28908","0.25903","38.42M","7.38%"
"09.08.2020","0.26692","0.26114","0.27123","0.26114","20.66M","2.21%"
"08.08.2020","0.26114","0.25300","0.26145","0.25187","10.27M","3.22%"
"07.08.2020","0.25300","0.25880","0.26390","0.24664","19.43M","-2.24%"
"06.08.2020","0.25880","0.25768","0.25961","0.25479","15.52M","0.43%"
"05.08.2020","0.25768","0.26171","0.26314","0.25415","18.89M","-1.54%"
"04.08.2020","0.26171","0.25084","0.26178","0.25084","14.42M","4.33%"
"03.08.2020","0.25084","0.24300","0.25580","0.24011","15.17M","3.22%"
"02.08.2020","0.24300","0.25869","0.26352","0.22485","31.43M","-6.06%"
"01.08.2020","0.25869","0.25308","0.25958","0.24968","17.26M","2.22%"
"31.07.2020","0.25308","0.24712","0.25328","0.24627","10.09M","2.41%"
"30.07.2020","0.24712","0.24747","0.25166","0.24682","14.67M","-0.14%"
"29.07.2020","0.24747","0.24740","0.24747","0.24740","14.98M","-1.51%"
"28.07.2020","0.25127","0.24823","0.25499","0.24294","28.27M","1.22%"
"27.07.2020","0.24823","0.25424","0.25723","0.22974","52.20M","-2.36%"
"26.07.2020","0.25424","0.26370","0.26669","0.25293","24.60M","-3.55%"
"25.07.2020","0.26360","0.25774","0.26500","0.25679","23.09M","2.27%"
"24.07.2020","0.25774","0.26450","0.26466","0.25670","19.80M","-2.55%"
"23.07.2020","0.26450","0.26218","0.26910","0.26020","13.31M","0.88%"
"22.07.2020","0.26218","0.26073","0.26804","0.25612","13.01M","0.56%"
"21.07.2020","0.26073","0.25850","0.26567","0.25517","21.34M","0.86%"
"20.07.2020","0.25850","0.27431","0.27575","0.25741","20.78M","-5.76%"
"19.07.2020","0.27431","0.26952","0.27987","0.26844","26.05M","1.79%"
"18.07.2020","0.26949","0.26548","0.27122","0.25826","16.21M","1.51%"
"17.07.2020","0.26548","0.26019","0.27712","0.26005","41.93M","2.04%"
"16.07.2020","0.26019","0.25981","0.27664","0.23819","51.71M","0.08%"
"15.07.2020","0.25997","0.26249","0.26498","0.25533","16.74M","-0.96%"
"14.07.2020","0.26249","0.26352","0.26764","0.25586","17.61M","-0.39%"
"13.07.2020","0.26352","0.26000","0.27921","0.25611","41.50M","1.35%"
"12.07.2020","0.26000","0.25789","0.26263","0.25271","11.08M","0.82%"
"11.07.2020","0.25789","0.25457","0.26004","0.25255","10.99M","1.30%"
"10.07.2020","0.25457","0.26137","0.26202","0.24615","17.13M","-2.60%"
